Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0191973307162497,-0.000897919994656132,0.0759941643862994,0,0,0,4.72255223919314,0.00981790485893184,0.000185665613392179,0.000239154967746463,0.0101768842092725,-3.80240754502535E-05,0.013478798045977,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/base_link.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/base_link.STL,,电池支架-1;底部支撑-1;底部支撑 -DC -1;机体支架2-2;机体2-1;机体支架1-2;DM-J6006-2/DM-J6006-2EC_20240822_1.stp-1/6210_0001.stp-1;DM-J6006-2/电机配重-1;DM-J6006-2/DM-J6006-2EC_20240822_1.stp-1/DM_6210_3D.stp-1;DM-J6006-1/电机配重-1;DM-J6006-1/DM-J6006-2EC_20240822_1.stp-1/DM_6210_3D.stp-1;电池-2;空气开关-1;脖子-固定-1/脖子固定-1;机体1-1;机体支架2-1;机体支架1-1;前盖支持-1;后盖-1;前盖支持-2;脖子-固定-1/头盖小-1;脖子-固定-1/L2 3D Model-1/L2 3D Model.STEP-1/^___L1 3D______________(2)_L1 3D______________.STEP-1/____ (2) ^____L1 3D______________(2)_L1 3D______________.STEP-1/^____ (2) _____L1 3D______________(2)_L1 3D______________.STEP-1;脖子-固定-1/天线1-1;脖子-固定-1/L2 3D Model-1/L2 3D Model.STEP-1/^___L1 3D______________(2)_L1 3D______________.STEP-1/^____L1 3D______________(2)_L1 3D______________.STEP-1/^_____L1 3D______________(2)_L1 3D______________.STEP-1;脖子-固定-1/L2 3D Model-1/L2 3D Model.STEP-1/^___L1 3D______________(2)_L1 3D______________.STEP-1/^____L1 3D______________(2)_L1 3D______________.STEP-1/____ (2) ^_____L1 3D______________(2)_L1 3D______________.STEP-1;天线2-1;后盖保护壳-1;DM 6210 3d 20230507.STEP-4/6210 ________________.STEP-1;DM 6210 3d 20230507.STEP-4/DM 6210 3D.STEP-1;DM 6210 3d 20230507.STEP-1/6210 ________________.STEP-1;DM 6210 3d 20230507.STEP-1/DM 6210 3D.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L0_Link,0.000619765634653893,4.28150829746982E-05,-0.0528764064151365,0,0,0,0.587331353457417,0.000679574562891484,6.35938529396535E-07,-2.00604496468451E-06,0.000388522055332698,7.19276925606477E-08,0.000394111330183765,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L0_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L0_Link.STL,,hip 2个.step-1;DM_8006-3,C_L0,A_L0,J_L0,revolute,-0.002787,0.053542,0.054381,0,0,0,base_link,0,0,1,12,20,-1.57,1.57,,,,,,,,
L1_Link,-0.00347150340744003,0.0341575635250294,-0.00920422354080709,0,0,0,0.0295521887544817,2.01156742464535E-05,2.92602620521006E-06,-7.57277675706635E-07,9.09722746772408E-06,3.46755992791597E-06,1.70589846703653E-05,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L1_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L1_Link.STL,,thigh-8006 - inv-1;大腿侧展-2,C_L1,A_L1,J_L1,revolute,0.016958,0,-0.053917,0,0,0,L0_Link,-1,0,0,20,20,-1.57,1.57,,,,,,,,
L2_Link,-0.000792134004393902,0.0178195463367404,-0.0737982008261337,0,0,0,1.34863094594399,0.00129423808911511,-1.85215677306796E-07,-1.27421115593987E-05,0.00198392746136237,-1.28976667559675E-06,0.000901841739960808,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L2_Link.STL,,DM_8006-4;大腿-1;大腿结构-1;DM_8006-5,C_L2,A_L2,J_L2,revolute,-0.012958,0.059001,-0.014313,0,0,0,L1_Link,0,1,0,20,20,-1.57,1.57,,,,,,,,
L3_Link,-4.78959695469905E-06,0.00800400502048923,-0.121850966704469,0,0,0,0.629727076499127,0.000532562144393527,-3.7728134151506E-09,-3.45474873647074E-09,0.000692863896298871,5.60689853527592E-07,0.000215617766048769,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L3_Link.STL,,小腿-2;小腿结构-2;DM-J6006-3/DM-J6006-2EC_20240822_1.stp-1/DM_6210_3D.stp-1;DM-J6006-3/DM-J6006-2EC_20240822_1.stp-1/6210_0001.stp-1;DM-J6006-3/电机配重-1;DM 6210 3d 20230507.STEP-5/DM 6210 3D.STEP-1;DM 6210 3d 20230507.STEP-5/6210 ________________.STEP-1,C_L3,A_L3,J_L3,revolute,0,0,-0.14738,0,0,0,L2_Link,0,1,0,20,20,-1.57,1.57,,,,,,,,
L4_Link_ankle,0.0117863373334438,-0.00675302646643325,-0.0296425502455308,0,0,0,0.171742682777178,4.69796687547755E-05,3.58937955264407E-06,3.63374508552524E-06,0.000315299126304912,-5.96116241048033E-06,0.000323351986881265,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L4_Link_ankle.STL,1,1,1,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/L4_Link_ankle.STL,,踝关节碳板-2;足端-60-1;足底-2,C_L4,A_L4,J_L4_ankle,revolute,0,0.025,-0.14049,0,0,0,L3_Link,0,-1,0,12,20,-1.57,1.57,,,,,,,,
R0_Link,0.000619765633283198,-6.07774382760072E-05,-0.0528236158498482,0,0,0,0.587331353381893,0.000679574562830091,-6.95388354708518E-07,-1.16330844642069E-06,0.000388522055270403,7.19277121372076E-08,0.000394111330166793,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R0_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R0_Link.STL,,hip - 8006-1;DM_8006-2,C_R0,A_R0,J_R0,revolute,-0.002787,-0.053184,0.054381,0,0,0,base_link,0,0,1,12,20,-1.57,1.57,,,,,,,,
R1_Link,-0.00347132375249927,-0.034156693924089,-0.0092040577765706,0,0,0,0.029551251476222,2.01147208072505E-05,-2.92579511895536E-06,-7.57224769336987E-07,9.09689869241228E-06,-3.46737843303799E-06,1.70580224435408E-05,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R1_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R1_Link.STL,,thigh-8006-1;大腿侧展-1,C_R1,A_R1,J_R1,revolute,0.016958,0,-0.053917,0,0,0,R0_Link,-1,0,0,20,20,-1.57,1.57,,,,,,,,
R2_Link,-0.000791325692475933,-0.0178404338194351,-0.0737102397834983,0,0,0,1.35023891621348,0.00129479834886649,1.89288275232469E-07,1.3580308094523E-05,0.00198470975774013,-1.19386485111444E-06,0.00090206400749835,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R2_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R2_Link.STL,,DM_8006-6;大腿2-1;大腿结构-2;DM_8006-7,C_R2,A_R2,J_R2,revolute,-0.012958,-0.059,-0.014313,0,0,0,R1_Link,0,-1,0,20,-2,-1.57,1.57,,,,,,,,
R3_Link,2.2396603683833E-05,-0.00733283067364296,-0.117588903345598,0,0,0,0.511661896307101,0.000485297776959414,1.48188072321711E-08,2.40996895467847E-08,0.000609655277025697,-4.96142654991589E-07,0.000168053491940784,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R3_Link.STL,1,1,1,1,0,0,0,0,0,0,package://TinkerV2_URDF/meshes/R3_Link.STL,,小腿-1;小腿结构-1;DM-J6006-4/DM-J6006-2EC_20240822_1.stp-1/6210_0001.stp-1;DM-J6006-4/电机配重-1;DM-J6006-4/DM-J6006-2EC_20240822_1.stp-1/DM_6210_3D.stp-1,C_R3,A_R3,J_R3,revolute,0,0,-0.14738,0,0,0,R2_Link,0,-1,0,20,20,-1.57,1.57,,,,,,,,
