Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,-0.00045205,-0.00051396,-0.0066732,0,0,0,0.8,0.00036945,1.3188E-07,1.0524E-20,0.00084255,-3.7634E-19,0.0010857,0,0,0,0,0,0,package://tinymal/meshes/base.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/base.STL,,电池-1;前后模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;前后模组-4/髋关节-后-1;前后模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;前后模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;底板-2;前后模组-3/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;前后模组-3/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;前后模组-3/髋关节-后-1;上板-1;前后模组-3/髋关节-1;侧展模组-1/侧展连接-1;前后模组-3/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;前后模组-3/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;前后模组-3/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;前后模组-3/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;前后模组-4/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;前后模组-4/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;前后模组-4/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;前后模组-4/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;前后模组-4/髋关节-1;侧展模组-3/侧展连接-1;前后模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;侧展模组-4/侧展连接-1;前后模组-3/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;前后模组-3/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;前后模组-3/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1;前后模组-4/4310 减速电机 3D 20221104-2/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.028062,-0.0066971,0.00041057,0,0,0,0.3,4.8475E-05,1.0083E-05,2.0599E-09,6.1304E-05,1.9321E-08,5.1846E-05,0,0,0,0,0,0,package://tinymal/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/FL_hip.STL,,侧展模组-2/侧展加强1-2;侧展模组-2/连接1-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;侧展模组-2/侧摆垫子-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;侧展模组-2/大腿连接-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 __________________3D.STEP-1/4310 ______________3D.STEP-1;侧展模组-2/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1,FL_hip,A_FL_hip,FL_hip_joint,revolute,0.117615811341093,0.0448519608147388,0.00119438074225783,0,0,0,base,1,0,0,12,20,-0.6,0.6,,,,,,,,
FL_thigh,-4.2324E-05,0.020257,-0.048809,0,0,0,0.35,0.00010737,3.8185E-09,-2.2112E-07,0.00013404,-6.7954E-08,3.3613E-05,0,0,0,0,0,0,package://tinymal/meshes/FL_thigh.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://tinymal/meshes/FL_thigh.STL,,大腿组合-1/大腿装饰-1;大腿组合-1/大腿底板-1;大腿组合-1/大腿顶板-1;大腿组合-1/大腿保护-1;大腿组合-1/大腿装饰侧-1;大腿组合-1/大腿装饰侧-2;大腿组合-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;大腿组合-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;大腿组合-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;大腿组合-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;小腿组合-4/小腿连接-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.0368115600024336,0.0350142968181736,0,0,-0.000636515673882331,0,FL_hip,0,1,0,12,20,-1.57,1.57,,,,,,,,
FL_calf,-0.010207,-0.0038882,-0.024265,0,0,0,0.1,8.6721E-06,1.3112E-12,1.5648E-08,1.8496E-05,-5.1393E-11,1.05E-05,0,0,0,0,0,0,package://tinymal/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/FL_calf.STL,,小腿组合-4/管夹子-1;小腿组合-4/小腿底板2-1;小腿组合-4/小腿底板-1;小腿-4/小腿杆-1;小腿组合-4/管夹子-2,FL_calf,A_FL_calf,FL_calf_joint,revolute,-0.000107063240097405,0.0537500000000011,-0.119583203794824,0,-1.2830852687121,0,FL_thigh,0,-1,0,12,20,0,2.7,,,,,,,,
FL_foot,0.0140070066713889,8.84950258500383E-05,0.00154864346573341,0,0,0,0.0137645286881968,1.41651202823501E-06,2.62369915812515E-10,2.62028073630471E-09,1.15178813885346E-06,-6.55904699891868E-09,9.08949663326799E-07,0,0,0,0,0,0,package://tinymal/meshes/FL_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://tinymal/meshes/FL_foot.STL,,小腿-4/足端保护-3;小腿-4/足端球固定-1,FL_foot,Axis_FL_foot_joint,FL_foot_joint,fixed,-0.144829367995569,-0.00756307155902691,-0.0430544596022255,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.027634,0.0076701,4.7676E-05,0,0,0,0.3,4.8531E-05,-1.0208E-05,-2.0599E-09,6.0816E-05,1.9321E-08,5.2061E-05,0,0,0,0,0,0,package://tinymal/meshes/FR_hip.STL,0.43922,0.43922,0.43922,1,0,0,0,0,0,0,package://tinymal/meshes/FR_hip.STL,,侧展模组-1/连接1-1;侧展模组-1/侧展加强1-1;侧展模组-1/侧摆垫子-1;侧展模组-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;侧展模组-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;侧展模组-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;侧展模组-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;侧展模组-1/大腿连接-1;侧展模组-1/侧展加强1-2;侧展模组-1/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.117615811341093,-0.0451480391852612,0.00119438074225779,0,0,0,base,-1,0,0,12,20,-0.6,0.6,,,,,,,,
FR_thigh,-3.2343E-05,-0.020267,-0.049026,0,0,0,0.35,0.0001074,3.9189E-09,1.2398E-07,0.00013404,6.7946E-08,3.3633E-05,0,0,0,0,0,0,package://tinymal/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/FR_thigh.STL,,大腿组合-4/大腿底板-1;大腿组合-4/大腿装饰-1;大腿组合-4/大腿顶板-1;大腿组合-4/大腿保护-1;大腿组合-4/大腿装饰侧-1;大腿组合-4/大腿装饰侧-2;大腿组合-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;大腿组合-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;大腿组合-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;大腿组合-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;小腿组合-1/小腿连接-1;大腿组合-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0.0368115600024335,-0.0350142968181737,0,0,0.000636515673882331,0,FR_hip,0,-1,0,12,20,-1.57,1.57,,,,,,,,
FR_calf,-0.0095307,0.0038882,-0.024265,0,0,0,0.1,8.6721E-06,1.3112E-12,-1.5648E-08,1.8496E-05,-5.1393E-11,1.05E-05,0,0,0,0,0,0,package://tinymal/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/FR_calf.STL,,小腿组合-1/小腿底板-1;小腿组合-1/管夹子-2;小腿组合-1/小腿底板2-1;小腿组合-1/管夹子-1;小腿-1/小腿杆-1,FR_calf,A_FR_calf,FR_calf_joint,revolute,-0.000191532759080459,-0.0537499999999988,-0.120380600355233,0,-1.2800888506786,0,FR_thigh,0,1,0,12,20,0,2.7,,,,,,,,
FR_foot,0.00151098287577117,0.0140070063422869,0.000350800090631626,0,0,0,0.0137645300163555,9.18185504610776E-07,2.53738927115051E-09,-4.69096621298054E-08,1.41651226312419E-06,7.04625726773317E-10,1.14255241456168E-06,0,0,0,0,0,0,package://tinymal/meshes/FR_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://tinymal/meshes/FR_foot.STL,,小腿-1/足端保护-3;小腿-1/足端球固定-1,FR_foot,Axis_FR_foot_joint,FR_foot_joint,fixed,-0.144255308338313,0.00743692844097307,-0.0430544596022255,0,-1.39975108426149,-1.5707963267949,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.027634,-0.0076701,4.7676E-05,0,0,0,0.3,4.8531E-05,-1.0208E-05,2.0599E-09,6.0816E-05,-1.9321E-08,5.2061E-05,0,0,0,0,0,0,package://tinymal/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://tinymal/meshes/RL_hip.STL,,侧展模组-4/侧展加强1-1;侧展模组-4/连接1-1;侧展模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________3D.STEP-1;侧展模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________B.STEP-1;侧展模组-4/侧摆垫子-1;侧展模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 __________________B.STEP-1;侧展模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ________________B.STEP-1;侧展模组-4/大腿连接-1;侧展模组-4/4310 减速电机 3D 20221104-1/4310 减速电机 3D 20221104.STEP-1/4310 ________________3D.STEP-1/4310 ____________B.STEP-1;侧展模组-4/侧展加强1-2,HL_hip,A_HL_hip,RL_hip_joint,revolute,-0.115396683031257,0.0448519608147397,0.00119438074225779,0,0,0,base,1,0,0,12,20,-0.6,0.6,,,,,,,,
